"filename", "language", "JavaScript", "TypeScript", "JSON", "JSON with Comments", "TypeScript React", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\dtos\team\IsUserOnTeamDTO.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\dtos\team\NewTeamDTO.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\dtos\user\NewUserDTO.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\dtos\user\UserLoginDTO.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\dtos\user\UserLoginStorageDTO.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\globalStyles\globalStyles.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 0, 4, 8, 59
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\globalStyles\globalValues.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\helpers\area\beautifulDndIdHelpers.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 0, 2, 31, 112
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\helpers\area\column\createColumnOrder.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\helpers\dateHelpers.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 13, 50
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\helpers\dropbox\DropboxAction.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\helpers\dropbox\runAction.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\helpers\localStorage\SaveLocalStorageDto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\helpers\localStorage\localStorageHelpers.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 0, 0, 0, 32, 116
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\helpers\notificationHelpers.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\helpers\stringHelpers.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\services\area\areaService.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\services\column\columnService.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 18, 54
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\services\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\services\task\taskService.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 14, 47
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\services\team\teamService.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 25, 87
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\services\user\userService.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 11, 44
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\types\area\Area.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\types\area\column\Column.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\types\area\specialization\AreaSpecialization.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\types\area\specialization\base\NonTechnicalSpecialization.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\types\area\specialization\base\TechnicalSpecialization.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\types\index.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\types\modality\Modality.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\types\modality\base\FIRSTModality.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\types\modality\base\NonFIRSTModality.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\types\modality\helpers\getModalityInitials.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\types\task\Task.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
